formula,bio
C5H14,93.14274787902832
C3H10I2O2S,90.1930570602417
C3H12IO2PSi,86.86266541481018
CH11NO2Si2,86.75479888916016
C2H6S2,84.19058322906494
C6H21NO2Si,79.62405681610107
CH9OPSi,79.09899353981018
C3H11FI2O2Si,79.06797528266907
CH6ClNO3S,71.6026782989502
C2H11INO2P,70.92211246490479
C3H13NO2Si,66.77742004394531
C6H17ClO2Si,48.091527819633484
CH13I2NOP2SSi,42.4892395734787
C3H10BrNO2S,35.103002190589905
H4BrFO2Si,33.17517638206482
C3H12IO2P,31.94015324115753
C4H15FO2SSi2,31.341329216957092
C5H18FN2P,30.056828260421753
C2H11FN2S,29.19304370880127
C2H9INOP,26.67188048362732
H3BrClISSi,23.507101833820343
CH7Cl2NO4,22.58378565311432
C2H10ClISi,22.045084834098816
CH9ClIPSi,18.308544158935547
C3H11FOSSi,18.16878765821457
C2H12NOPSi,18.044814467430115
C4H13F2NOS,16.439051926136017
CH17IN2O2P2SSi2,16.420002281665802
CH13N2OPSSi2,16.154293715953827
C3H15IN2O2SSi,15.60589075088501
CH13FI4N3O3PSSi,14.240087568759918
C3H10BrI2O2P,13.835625350475311
CH7ClIN3O,13.040593266487122
C3H10ClIO2P2S,12.605668604373932
C5H15FOP2S2,12.422854453325272
CH7ClFI2OP3S3,12.237799167633057
C2H9Cl2INO2PS,11.74895316362381
C5H15INPSSi,11.551762372255325
CH12N2OP2SSi,11.413250863552094
C4H14INOS,11.130687594413757
C5H16BrFOSi,10.80392450094223
C4H22N2O2P4Si,10.7130765914917
C2H11BrINOSi,10.372499376535416
CH10FNP2S3Si,10.315625369548798
CH6Cl2NOP,9.759268909692764
C2H17I2O2PSSi2,9.428145736455917
C3H15N5O,9.304581582546234
C5H22NPSSi3,8.934039622545242
C2H10Cl2FO2PSi,8.817971497774124
CH9FNOPS2Si,8.172056078910828
C3H25IN3PSi3,7.669327408075333
C3H15F2INO2PSi,7.363080233335495
C2H11Cl2PSSi,7.204027473926544
C3H13ClFOPSSi,7.077331840991974
C3H13BrINOSi,7.04406201839447
C4H18FINOPSi2,6.906758248806
H10I3N3OSi,6.736472994089127
CH11ClI2S2Si2,6.681752949953079
C2H9INO3P,6.539751589298248
CH14Cl2IO3PS2Si2,6.416119635105133
C2H14FN2PS2Si,6.327787786722183
H13BrIN3O2Si2,6.11385852098465
C4H12INP2S,6.0616277158260345
H8BrF2N2PSi,5.892673507332802
C2H13I2NOP4Si,5.667814239859581
C4H15BrClO2PS,5.636238306760788
CH6BrClI5NO2Si,5.6347765028476715
C3H15N2PSSi,5.518897622823715
H4BrClN2OS,5.508830398321152
C3H11BrIO3PS,5.324967205524445
CH11F2NO2S2Si2,5.314023792743683
H14BrClIO2P3S2Si2,5.19542433321476
CH11BrFI6NO2P2S,4.804527387022972
C2H12ClF2NP2S,4.601353406906128
C3H10F2N2S2,4.5791395008563995
C3H16IN2O2PS3,4.431385174393654
C4H25INO2P3SSi2,4.105345159769058
CH10BrClIN3SSi,4.029446095228195
C6H15BrFINOPS,3.808639943599701
CH12INOSSi3,3.803153336048126
H3BrCl2F2INSi,3.3357784152030945
CH12BrINPSi2,3.0597932636737823
CH11BrIN2OPS2,2.8695009648799896
CH7BrCl2INSi,2.7216268703341484
C4H17IN2P2Si,2.6540933176875114
H9ClI2P2S2Si,2.479335106909275
C3H10Cl4INO,2.46080681681633
CH5Br2N,2.355249412357807
C5H14Br2Si,2.193179912865162
C3H13BrClFN2SSi,1.9992558285593987
C4H14BrFNOP,1.9816523417830467
C4H16BrClIOPS2Si,1.6749218106269836
C3H14ClF2IN2S2Si,1.6465935856103897
C3H14BrClINO2S2Si2,1.3428603298962116
C3H18Cl2IN2P3Si,1.2688864953815937
C3H11FINOSSi,1.0812556371092796
C3H12Br2N2OSi,1.0386530309915543
C2H18BrI2O3PSi3,0.8788570761680603
C5H17Br2ISi,0.8124193176627159
C2H13Cl2F2OPS7Si,0.34476714208722115
