Formula,Count
C2H12BrClFI2NOS2Si,1
C2H11ClFI2O3PS,1
H7Cl2IP2S2Si,1
H7FOSi2,1
H10Cl2O4S2Si2,1
C2H6ClIOS,1
C2H4FIO2,1
H4Br2ClFI4OP2,1
CH11FIN2O2PSSi,1
H4F3INPS,1
H4NOP,1
C2H7Br2F2IO,1
CH5BrFI2OP,1
H7BrClIP2S2Si,1
C4H21BrN3O2PS2Si,1
CH11BrClF2INOPS3,1
CH10INS3Si,1
H2BrClIOP,1
CH8BrN3O,1
CH7BrINO2,1
C3H21FIN2O3PSi,1
CH8BrNOS3Si,1
CH11ClIN2OPSSi,1
CH10ClINO2PSSi,1
H7BrNP3,1
CH8ClF2NP2,1
C4H17ClFI2NSSi,1
C2H10ClI2O2P,1
C3H13Cl2O3PS2Si,1
H8Cl2FI3O2P2,1
H11INOPSSi2,1
C2H9O3P,1
CH14BrFINOP2Si,1
CH17Br2FIOPSi4,1
C3H10BrClIOPS,1
C4H12BrN,1
CH8Br2I2NOPS2,1
CH8FIOSi2,1
CH12BrClF2S2Si3,1
H11ClFIN2OSi2,1
C2H10BrIOP2,1
H2BrI2NOS5,1
C3H18BrClFN2OPSSi,1
CH10Cl2F2I3NOSi,1
CH6ClFI2NPS,1
H6F2N3OPS,1
CH12BrClIN2OP3S,1
C2H8ClP,1
C2H10Cl2INO2Si,1
C3H8ClNO,1
C2H14BrClINSSi2,1
C2H13ClI3NO2Si,1
C5H15BrClI,1
C2H17IO3S2Si3,1
CH7BrFIOSi,1
C2H17N2PSSi2,1
CH14BrFINO3SSi2,1
CH13IO2P2S3Si2,1
H7BrClFN2OSSi,1
C3H11ClFI3NO3P,1
C2H13I2OPSi,1
H3BrClNO2,1
CH7BrF2OP2S,1
C3H11FO2,1
CH11Br2ClN3P3S,1
CH15N3OSi3,1
CH7OPSi,1
H5BrClFI2P2S2,1
C2H10NPSi,1
C2H7O2PS,1
HOPS,1
C3H12BrCl2FSi2,1
H4FPSi,1
H10Cl2INO3P2Si,1
CH13FO3P2SSi,1
C2H15ClF2I3O2P3Si,1
H4BrCl2NOS2,1
H7Cl2I2NO2SSi,1
H5Br2FN4S,1
CH7ClFISSi,1
C2H8BrClI2SSi,1
H6ClFIO3PSSi,1
C2H17BrFIN2S4Si2,1
H7BrFNO4P2S,1
CH5NS3,1
C3H9P,1
H9I2NOP2Si,1
C2H12F2INSSi,1
CH9BrClFINOP2S2,1
H5BrCl2INSi,1
H5BrF2INS2Si,1
CH11Br3ClFI2NPS2Si,1
C4H13BrI2P2,1
C3H14ClFIN2P,1
C3H7BrClF2IS,1
C3H14I3PS,1
C3H9ClO,1
H4BrIO2SSi,1
CH3Cl3O,1
H14BrN3O3Si2,1
